StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,QID1_1,QID1_2,QID1_3,QID1_4,SMS_1,SMS_2,SMS_3,SMS_4,SMS_5,SMS_6,SMS_7,SMS_8,SMS_9,SMS_10,SMS_11,SMS_12,SMS_13,SMS_14,SMS_15,SMS_16,SMS_17,SMS_18,SMS_19,SMS_20,SMS_21,Attrak_1,Attrak_2,Attrak_3,Attrak_4,Attrak_5,Attrak_6,Attrak_7,Attrak_8,Attrak_9,Attrak_10,Attrak_11,Attrak_12,Attrak_13,Attrak_14,Attrak_15,Attrak_16,Attrak_17,Attrak_18,Attrak_19,Attrak_20,Attrak_21,Attrak_22,Attrak_23,Attrak_24,Attrak_25,Attrak_26,Attrak_27,Attrak_28,SUS_1,SUS_2,SUS_3,SUS_4,SUS_5,SUS_6,SUS_7,SUS_8,SUS_9,SUS_10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q11_15,Age,Gender,Gender.1,Q13
2022-08-02 10:32,2022-08-02 10:40,0,138.246.3.121,100,509,1,2022-08-02 10:40,R_1mzc00vI2p1FVG3,,,,,48.1787,11.5617,anonymous,EN,13,2,5,5,4,3,4,5,3,4,3,3,4,4,5,3,2,5,3,5,5,4,4,5,3,4,3,6,2,1,1,4,2,1,3,4,5,4,5,2,2,4,4,6,2,5,4,3,2,5,2,3,2,4,5,1,5,1,4,1,4,2,3,1,3,2,3,2,3,1,5,4,3,4,5,6,3,4,4,27,2,,5
2022-08-02 10:47,2022-08-02 10:52,0,138.246.3.121,100,285,1,2022-08-02 10:52,R_2t9C28KuBD1ZXo8,,,,,48.1787,11.5617,anonymous,EN,14,1,4,5,4,3,4,5,4,3,4,3,4,4,5,2,2,4,4,4,4,4,5,4,2,4,6,7,2,1,4,2,5,1,2,6,5,1,5,6,1,5,5,6,2,6,6,2,2,5,5,1,1,6,4,1,5,1,4,1,5,1,5,1,5,3,5,4,6,3,5,5,3,4,3,4,4,5,3,26,1,,5
2022-08-05 03:54,2022-08-05 04:05,0,46.205.146.10,100,618,1,2022-08-05 04:05,R_31nsd5tUoKd7aDs,,,,,53.4286,14.5475,anonymous,EN,NP09,4,4,2,4,5,5,3,4,5,5,3,4,2,4,5,4,4,4,5,4,4,4,5,3,5,2,7,2,2,3,4,4,1,4,6,1,3,4,5,2,6,7,7,1,5,6,2,1,6,5,2,2,5,4,1,5,1,5,2,4,2,5,1,6,3,3,2,5,1,2,2,3,2,2,2,3,3,6,24,1,,7
2022-08-05 04:11,2022-08-05 04:18,0,46.205.146.10,100,427,1,2022-08-05 04:18,R_V53YmrkvwkCuGid,,,,,53.4286,14.5475,anonymous,EN,NP10,3,4,4,2,4,3,4,3,2,4,3,3,4,4,4,2,4,4,4,4,4,3,4,3,4,3,5,3,6,2,2,5,1,2,5,2,2,1,6,1,4,5,5,2,4,5,2,2,5,4,3,5,6,1,2,3,1,4,1,4,3,5,1,2,5,4,1,3,3,3,3,5,4,2,6,4,3,3,24,2,,7
2022-08-05 03:44,2022-08-05 04:44,0,138.246.3.121,100,3627,1,2022-08-05 04:44,R_2xymURyjmRnwUpi,,,,,48.1787,11.5617,anonymous,EN,17,1,5,5,5,4,5,5,3,5,5,5,5,3,4,3,4,5,5,5,5,5,5,5,5,5,1,7,1,1,1,1,7,1,1,6,2,2,5,4,1,7,7,7,1,7,7,7,1,7,7,1,3,7,5,1,5,1,5,2,5,1,5,2,4,5,4,4,5,1,3,4,4,4,5,4,3,3,5,25,1,,5
2022-08-05 04:47,2022-08-05 04:58,0,138.246.3.121,100,679,1,2022-08-05 04:58,R_3QGbROLQSCbgeyG,,,,,48.1787,11.5617,anonymous,EN,18,1,5,5,4,3,4,4,5,5,3,5,4,1,4,4,3,4,4,2,5,3,3,4,5,4,3,7,1,4,5,2,4,2,2,6,2,1,6,7,4,3,3,6,2,6,4,4,1,6,4,3,1,6,3,1,5,1,5,1,5,3,3,1,3,6,2,1,2,1,3,3,4,5,1,3,1,2,5,23,1,,6
2022-08-06 06:40,2022-08-06 06:56,0,188.146.139.15,100,931,1,2022-08-06 06:56,R_b4rKO1cVqupzqGR,,,,,52.4052,16.9339,anonymous,EN,NP11,2,5,4,4,3,3,5,5,5,3,5,5,3,5,3,5,3,3,3,5,5,3,5,5,3,3,5,2,2,4,4,5,2,1,4,4,7,4,6,1,4,5,7,1,6,5,4,2,4,6,2,2,6,3,1,4,2,4,1,5,3,3,2,3,3,5,5,5,1,2,4,5,4,4,5,2,4,3,23,1,,7
2022-08-06 06:58,2022-08-06 07:08,0,188.146.139.15,100,590,1,2022-08-06 07:08,R_1jcDu7yOi30TiRg,,,,,52.4052,16.9339,anonymous,EN,NP12,2,4,5,4,3,5,5,5,5,5,5,5,3,5,5,1,1,3,5,5,5,5,1,5,5,3,5,2,2,4,5,6,2,2,5,5,2,2,5,2,5,5,2,2,5,6,5,2,5,6,2,4,6,4,2,4,1,4,2,4,1,4,1,2,2,3,1,2,5,2,3,2,3,5,3,3,3,5,21,2,,6
2022-08-08 10:21,2022-08-08 10:33,0,188.146.139.15,100,757,1,2022-08-08 10:33,R_8enFqlNPsWiPgit,,,,,52.4052,16.9339,anonymous,EN,NP13,2,4,4,5,3,4,5,3,2,3,5,4,1,5,4,3,5,5,4,4,4,3,3,4,5,2,7,2,1,3,3,7,6,2,6,3,6,4,7,1,6,5,6,2,2,6,4,2,5,3,1,1,5,5,2,5,1,3,2,5,1,3,2,4,6,3,2,5,1,3,3,4,2,5,6,5,4,5,22,1,,7
2022-08-08 10:38,2022-08-08 10:46,0,188.146.139.15,100,499,1,2022-08-08 10:46,R_2tipKmlWX1IubJs,,,,,52.4052,16.9339,anonymous,EN,NP14,3,5,5,3,3,3,5,5,3,3,5,5,1,5,3,3,3,5,1,5,1,5,5,5,3,5,5,2,3,3,2,6,3,3,5,3,5,4,6,6,5,2,6,3,6,6,6,2,6,3,2,4,6,3,2,5,1,4,2,4,4,4,2,4,6,5,3,3,2,4,3,4,3,4,5,4,3,5,22,1,,7
2022-08-09 06:47,2022-08-09 06:56,0,138.246.3.172,100,519,1,2022-08-09 06:56,R_wWQePg12Ulw1HPz,,,,,48.1787,11.5617,anonymous,EN,19,3,5,4,4,5,5,4,4,5,5,2,5,5,5,5,5,3,3,4,5,5,5,5,5,3,6,6,6,1,1,2,6,2,1,3,1,1,7,7,1,7,7,7,2,7,7,4,1,3,1,1,1,7,4,1,5,1,4,1,5,1,1,1,6,3,4,1,6,2,5,5,6,5,3,6,1,3,6,24,1,,6
2022-08-09 07:01,2022-08-09 07:10,0,138.246.3.172,100,543,1,2022-08-09 07:11,R_33gzMdWwgtXgVCE,,,,,48.1787,11.5617,anonymous,EN,20,1,5,5,4,4,1,5,2,4,2,2,1,2,4,2,2,2,2,4,4,5,4,4,5,2,5,6,2,5,5,2,6,2,2,5,6,1,2,6,1,5,5,5,1,6,5,3,6,5,2,1,6,6,2,1,5,1,2,1,5,4,5,1,3,5,3,1,1,1,3,5,4,5,3,3,4,2,3,28,2,,6
2022-08-09 11:01,2022-08-09 11:35,0,138.246.3.121,100,2050,1,2022-08-09 11:35,R_3iIpDrpiGMPN8tL,,,,,48.1787,11.5617,anonymous,EN,16,1,5,5,4,3,2,4,2,3,4,4,2,1,4,4,2,2,2,1,4,2,3,4,2,3,1,7,1,3,4,3,5,3,3,5,5,4,5,6,1,7,7,7,1,5,5,4,3,5,4,1,4,6,3,1,5,1,4,2,5,3,5,1,2,1,1,2,2,4,2,3,2,2,4,1,1,1,2,23,1,,6
2022-08-09 11:39,2022-08-09 11:45,0,138.246.3.121,100,330,1,2022-08-09 11:45,R_eR06VwjPQD6w6uB,,,,,48.1787,11.5617,anonymous,EN,15,1,4,5,4,2,2,4,4,2,2,2,2,1,4,1,2,1,2,1,4,2,2,3,1,2,3,6,2,3,2,2,6,2,2,6,3,3,4,6,6,5,5,6,2,6,6,5,2,6,6,2,2,6,4,1,5,1,5,1,5,3,4,1,3,2,4,1,5,1,1,2,2,2,2,3,1,2,1,23,1,,6
2022-08-10 09:48,2022-08-10 09:57,0,188.146.139.15,100,518,1,2022-08-10 09:57,R_1ot1u5cobhTRSmj,,,,,52.4052,16.9339,anonymous,EN,NP15,1,5,5,5,4,3,5,5,5,3,5,3,3,5,4,4,5,4,2,5,3,5,5,5,3,2,7,1,1,2,2,7,1,2,7,1,7,7,7,1,7,7,7,1,7,7,1,1,7,7,1,1,7,5,1,5,1,5,1,5,2,5,1,4,2,1,2,4,2,3,3,5,4,2,5,2,3,4,31,1,,4
2022-08-10 10:08,2022-08-10 10:23,0,188.146.139.15,100,932,1,2022-08-10 10:24,R_tSbCEn8nemf1pwR,,,,,52.4052,16.9339,anonymous,EN,NP16,1,4,4,4,3,4,5,5,3,4,2,1,2,3,4,3,4,4,2,3,4,2,3,4,4,2,3,2,4,1,2,7,2,1,6,1,3,2,3,4,6,6,7,1,7,6,3,3,6,3,1,3,7,4,1,4,1,4,1,5,1,4,1,2,3,3,2,1,2,3,4,2,4,4,3,1,3,3,21,1,,4
2022-08-11 07:19,2022-08-11 07:31,0,138.246.3.112,100,740,1,2022-08-11 07:31,R_egoHS9PQnDriAc9,,,,,48.1787,11.5617,anonymous,EN,21,2,5,5,4,2,1,4,3,2,1,2,3,2,3,3,4,4,3,4,4,4,3,3,2,1,3,6,2,1,2,4,5,2,2,6,3,5,3,6,1,5,5,6,1,5,5,2,1,5,3,2,1,5,4,1,5,1,4,1,5,1,2,1,3,4,2,2,4,2,3,4,5,4,3,6,5,3,6,27,2,,6
2022-08-11 07:38,2022-08-11 07:46,0,138.246.3.112,100,454,1,2022-08-11 07:46,R_3FUPx1mpdiDBLYD,,,,,48.1787,11.5617,anonymous,EN,22,1,5,5,5,3,3,5,3,3,4,3,4,5,5,4,3,5,5,4,5,5,5,4,5,5,4,7,1,1,1,3,4,1,1,7,4,2,5,7,3,5,6,6,1,7,5,4,3,5,4,2,2,7,5,1,5,1,5,1,5,1,5,1,2,5,3,4,5,1,4,4,4,4,3,4,3,4,5,28,2,,5
2022-08-11 10:29,2022-08-11 10:36,0,188.146.139.15,100,438,1,2022-08-11 10:36,R_2vYfuE7tDB1NlDs,,,,,52.4052,16.9339,anonymous,EN,NP17,2,4,5,3,5,3,5,5,3,3,5,3,5,3,3,5,1,3,1,5,5,3,5,3,5,6,6,3,2,2,3,6,3,2,5,7,7,4,5,2,5,3,7,2,3,4,2,2,5,6,2,6,5,4,1,5,1,3,3,5,1,3,1,4,6,4,6,3,5,5,2,5,4,2,5,2,5,6,24,2,,7
2022-08-11 10:42,2022-08-11 10:49,0,188.146.139.15,100,421,1,2022-08-11 10:49,R_2TF7eLOGnP4Gr2Z,,,,,52.4052,16.9339,anonymous,EN,NP18,2,5,4,5,5,4,5,3,4,4,5,4,5,5,2,4,5,3,4,5,4,5,5,3,2,2,7,3,1,3,1,6,1,2,5,3,2,4,6,2,5,6,7,1,6,6,3,2,6,5,1,2,6,4,1,5,1,5,1,5,3,5,1,6,1,3,5,6,1,2,3,6,2,2,3,6,5,4,24,2,,7
2022-08-11 11:06,2022-08-11 11:52,0,188.146.139.15,100,2750,1,2022-08-11 11:52,R_2UW0O0sOj1JQ69t,,,,,52.4052,16.9339,anonymous,EN,NP19,2,4,4,4,4,1,1,2,2,4,3,2,2,4,3,4,4,3,5,5,3,3,4,3,2,7,2,2,1,5,2,6,2,2,2,2,5,6,6,2,6,5,7,2,6,7,6,1,6,4,1,1,6,3,1,5,1,4,1,5,1,4,1,5,1,5,3,5,1,3,4,5,4,4,5,5,4,6,24,2,,7
2022-08-11 12:02,2022-08-11 12:16,0,188.146.139.15,100,841,1,2022-08-11 12:16,R_BQTNvFNfGYngNKF,,,,,52.4052,16.9339,anonymous,EN,NP20,1,5,4,4,3,3,3,1,3,3,3,3,5,1,3,1,3,3,1,5,5,5,5,5,1,3,6,2,4,1,4,5,4,2,5,2,5,4,7,1,4,7,7,1,3,5,3,2,6,4,2,3,6,3,1,5,1,4,1,5,5,5,1,2,6,5,4,2,1,6,5,3,4,3,6,3,4,6,24,2,,7
2022-08-12 02:05,2022-08-12 02:40,0,138.246.3.112,100,2086,1,2022-08-12 02:40,R_XBsTHgNrrl7sSPv,,,,,48.1787,11.5617,anonymous,EN,24,2,5,5,3,4,3,4,4,4,4,3,5,2,5,3,3,4,4,2,4,4,4,5,4,3,5,7,2,2,2,1,5,2,2,6,4,1,7,6,5,6,6,4,2,7,5,5,1,4,2,2,1,6,4,1,5,1,4,2,4,4,5,1,4,2,4,2,5,2,4,3,3,4,4,5,3,4,5,25,1,,7
2022-08-12 02:44,2022-08-12 02:53,0,138.246.3.112,100,520,1,2022-08-12 02:53,R_plQafejBI3WnUHL,,,,,48.1787,11.5617,anonymous,EN,23,1,4,5,4,5,5,5,4,5,4,4,4,3,5,4,4,2,2,4,5,4,4,5,4,4,1,7,1,1,2,2,7,1,1,7,5,2,7,6,1,7,7,7,1,5,6,3,2,5,2,1,3,4,4,2,5,2,4,1,5,1,4,1,5,4,3,2,4,2,3,3,2,3,5,4,2,3,5,25,1,,7
2022-08-22 07:30,2022-08-22 07:38,0,138.246.3.63,100,497,1,2022-08-22 07:38,R_1eFeM7MeVPKAiXy,,,,,48.1787,11.5617,anonymous,EN,25,1,4,5,2,1,1,4,2,1,1,3,2,1,4,2,1,1,1,2,2,4,3,2,3,3,5,3,2,1,3,6,5,6,2,3,6,4,6,1,6,3,4,6,4,6,5,3,2,5,4,5,2,4,2,1,4,1,3,4,5,2,2,1,3,6,5,4,1,6,3,5,3,5,3,2,5,3,1,29,2,,7
2022-08-22 07:43,2022-08-22 07:50,0,138.246.3.63,100,419,1,2022-08-22 07:50,R_3pbPgcCX3QLw8Km,,,,,48.1787,11.5617,anonymous,EN,26,1,5,5,5,3,2,5,3,4,3,3,3,4,5,3,3,5,4,5,5,5,4,3,3,3,5,6,6,4,2,2,5,1,2,6,4,7,6,6,1,6,6,6,2,4,6,4,3,5,4,1,4,6,5,1,5,3,4,3,5,1,5,1,4,6,2,1,2,2,3,3,2,4,2,3,1,2,3,30,2,,7
2022-08-22 11:17,2022-08-22 11:21,0,138.246.3.63,100,278,1,2022-08-22 11:21,R_2b1R8QWgr3juwyG,,,,,48.1787,11.5617,anonymous,EN,27,1,1,5,4,4,4,4,3,3,4,4,2,1,1,3,1,1,1,1,4,1,3,4,4,3,3,6,3,3,4,6,4,4,2,3,4,7,4,5,2,4,4,4,3,3,4,4,3,6,6,3,3,5,4,3,3,3,3,3,4,2,4,2,3,2,3,3,4,3,4,3,4,6,4,6,2,6,6,29,2,,7
2022-08-22 11:24,2022-08-22 11:32,0,138.246.3.63,100,449,1,2022-08-22 11:32,R_2dj26lHlsGyL64q,,,,,48.1787,11.5617,anonymous,EN,28,3,4,5,4,4,2,5,3,2,3,5,1,1,4,3,3,1,3,5,5,4,2,4,2,3,1,7,6,3,2,2,6,2,3,6,3,5,5,6,2,6,6,6,2,6,6,4,2,7,6,1,2,4,4,1,5,1,3,1,5,1,4,2,2,3,1,5,3,1,3,3,2,4,3,2,2,3,6,34,2,,7
2022-08-23 07:45,2022-08-23 08:35,0,138.246.3.123,100,2965,1,2022-08-23 08:35,R_3JIPe1L3BnBdQWQ,,,,,48.1787,11.5617,anonymous,EN,101,2,4,4,3,1,2,3,2,2,2,1,1,1,2,1,1,2,2,1,4,4,3,3,2,1,2,6,3,3,3,4,5,3,3,3,2,2,5,5,2,6,5,5,3,5,5,2,6,6,6,2,3,5,2,2,4,2,5,1,4,1,4,2,2,5,3,3,2,5,3,4,5,5,3,6,3,4,6,28,1,,5
2022-08-23 08:43,2022-08-23 08:50,0,138.246.3.123,100,403,1,2022-08-23 08:50,R_ULulQBg8XHA92xz,,,,,48.1787,11.5617,anonymous,EN,102,3,4,5,3,2,3,4,4,3,3,3,3,3,2,3,2,3,3,4,3,4,2,4,3,2,5,4,5,4,6,3,3,6,6,3,6,4,3,2,6,2,2,4,4,3,3,2,5,3,3,4,5,6,1,1,4,1,3,2,5,4,4,2,5,6,4,5,1,2,4,5,3,5,3,4,2,5,4,29,2,,5
2022-08-24 08:58,2022-08-24 09:42,0,138.246.3.42,100,2612,1,2022-08-24 09:42,R_UFxvec63iJ2Njhv,,,,,48.1787,11.5617,anonymous,EN,103,1,4,4,4,3,3,3,3,3,3,4,2,2,4,2,2,2,4,3,4,5,3,2,4,3,1,5,3,7,1,4,5,3,3,4,5,7,4,5,2,4,6,5,3,3,6,6,2,5,3,2,5,5,3,3,4,2,3,2,5,1,4,1,5,3,4,4,4,2,4,4,4,4,4,3,3,5,3,28,2,,7
2022-08-24 09:42,2022-08-24 09:54,0,138.246.3.42,100,725,1,2022-08-24 09:54,R_3HHU2dTRmogvvjK,,,,,48.1787,11.5617,anonymous,EN,104,2,4,5,4,4,3,4,3,3,3,3,4,4,4,2,4,5,4,4,5,4,4,4,3,4,6,3,2,1,6,2,6,1,1,7,3,2,7,6,4,7,6,7,1,3,6,4,1,4,6,2,2,6,4,1,5,1,4,1,5,4,4,1,3,6,3,5,3,2,2,4,4,4,1,6,2,5,6,34,2,,7
2022-08-24 12:38,2022-08-24 12:50,0,93.218.59.76,100,695,1,2022-08-24 12:50,R_TwkVfuNDneMUguZ,,,,,48.1823,11.5331,anonymous,EN,107,2,3,3,3,4,4,5,4,4,4,2,1,4,4,4,4,2,2,3,3,4,3,3,4,3,5,5,3,3,2,5,3,5,2,6,5,6,4,3,3,4,3,7,3,3,5,3,3,5,4,4,2,4,2,1,5,1,3,4,4,2,4,1,3,6,3,1,1,1,2,3,2,3,3,2,3,2,6,27,2,,7
2022-08-24 12:50,2022-08-24 12:55,0,93.218.59.76,100,293,1,2022-08-24 12:55,R_cCKaHFxZ8ejdfQB,,,,,48.1823,11.5331,anonymous,EN,108,2,4,5,3,4,4,5,4,3,4,4,2,4,3,4,3,2,1,4,4,4,2,5,4,2,6,4,5,2,2,2,5,3,2,6,5,3,5,5,2,5,6,6,2,6,7,2,3,5,3,2,2,6,4,1,5,1,4,1,4,3,3,1,2,5,3,1,5,2,2,4,4,3,3,4,3,4,5,29,1,,7
2022-08-26 08:26,2022-08-26 09:34,0,138.246.3.42,100,4055,1,2022-08-26 09:34,R_eJ3ENEYFLZrnkiZ,,,,,48.1787,11.5617,anonymous,EN,105,2,4,5,4,4,2,4,4,3,3,2,2,2,4,3,2,5,4,3,4,3,2,4,2,4,2,7,2,3,1,2,6,2,3,7,3,2,4,6,1,6,5,4,2,6,4,5,3,4,2,4,3,5,4,1,4,1,4,3,3,2,3,1,6,2,5,3,6,1,5,5,3,5,5,6,4,5,6,32,2,,6
2022-08-26 09:38,2022-08-26 09:45,0,138.246.3.42,100,394,1,2022-08-26 09:45,R_OAKyLB8d6PxBtPH,,,,,48.1787,11.5617,anonymous,EN,106,2,4,5,3,3,4,4,2,4,2,2,3,5,4,3,3,4,3,4,4,5,4,4,3,2,4,5,3,4,3,3,5,2,3,5,4,3,4,5,4,5,5,6,2,4,5,4,3,4,5,3,3,6,4,2,5,1,3,2,4,3,4,1,3,3,4,3,4,2,4,5,4,5,3,4,3,5,2,27,1,,7
2022-08-29 02:05,2022-08-29 03:02,0,138.246.3.63,100,3459,1,2022-08-29 03:02,R_3EgK2SUT88ySD2P,,,,,48.1787,11.5617,anonymous,EN,109,4,4,5,3,3,3,4,2,3,3,4,2,2,4,4,2,4,3,5,2,5,3,5,2,3,3,6,4,2,2,3,3,3,3,7,6,4,5,3,1,3,5,4,3,6,3,5,3,4,5,3,2,6,2,1,4,2,5,1,5,3,4,1,6,3,5,5,6,5,6,4,5,3,4,6,2,5,5,32,1,,7
2022-08-29 03:04,2022-08-29 03:12,0,138.246.3.63,100,461,1,2022-08-29 03:12,R_ZaWzUhY5Mz8F5FD,,,,,48.1787,11.5617,anonymous,EN,110,1,4,4,5,3,4,4,4,3,2,5,3,4,4,3,3,4,4,2,4,4,4,4,4,3,3,6,2,1,1,2,5,2,2,7,3,3,6,6,1,6,6,6,1,6,6,3,2,6,3,2,2,7,1,5,1,5,2,5,1,5,1,5,4,5,5,5,3,2,5,5,3,5,2,4,3,4,3,27,1,,6
2022-08-30 01:57,2022-08-30 02:53,0,138.246.3.63,100,3398,1,2022-08-30 02:53,R_2YS6QwifoediF9M,,,,,48.1787,11.5617,anonymous,EN,111,2,5,5,4,4,4,5,4,4,4,5,3,2,4,4,3,5,4,5,4,4,4,5,3,4,3,6,2,2,3,2,5,3,3,5,3,3,6,6,3,6,6,7,2,5,6,3,2,5,5,3,3,6,4,2,4,1,4,2,4,1,5,2,5,4,5,4,5,4,4,5,4,4,4,6,4,4,5,27,1,,5
2022-08-30 02:54,2022-08-30 03:03,0,138.246.3.63,100,547,1,2022-08-30 03:03,R_1LZFj1vSJVYIsXa,,,,,48.1787,11.5617,anonymous,EN,112,1,5,5,4,3,2,4,3,5,2,3,4,2,4,1,2,2,2,5,5,3,3,4,4,2,2,6,1,2,3,2,3,2,2,6,4,5,6,4,1,3,6,6,2,7,4,4,2,6,2,1,1,7,4,1,5,1,5,1,5,1,5,1,3,5,3,1,4,2,2,2,2,4,4,4,3,2,5,28,2,,6
